,niche,title,channel_title,views,views_per_day,shorts_score,duration_s,published_at,video_url,channel_url,source_query,created_at,subscribers,video_count,total_views
313,Cars & Motorcycles,car 😭vale ne bike ka nuskan kar diya🥹 | #shorts #viralvideo #motovlog,UNIQUE FALCO 55,18886273,2436562.0016155886,1.05,50,2025-12-18T04:35:00Z,https://www.youtube.com/watch?v=KX_E8l8WYS4,https://www.youtube.com/channel/UCADLM3y5_dE5Ty_r_RdPj9g,car shorts,2024-05-02T01:43:12.755233Z,574000,263,279501888
496,Science Facts,Power of Physics😱,Dip Knows,18742281,771751.5529627138,1.05,29,2025-12-01T15:45:53Z,https://www.youtube.com/watch?v=8NjP66FS25I,https://www.youtube.com/channel/UCfqcC4P9zvqUUCckA9ohARg,science facts #shorts,2025-05-28T14:15:04.729252Z,22400,124,55653946
584,Movies & TV (Edits/Clips/Trivia),"🚪 The Janitor With a DEADLY Secret! 😱 The ""Black Kaiser"" Returns Undercover! ⚙️💀#short #movie",Carol886,18741694,1297546.233377999,1.05,58,2025-12-11T11:57:35Z,https://www.youtube.com/watch?v=KPnV4Y2TCYM,https://www.youtube.com/channel/UCjpLX4_NVnTYykjWsWWPMdg,movie scenes #shorts,2018-11-20T00:37:50Z,74100,86,178526967
585,Movies & TV (Edits/Clips/Trivia),🍬 “An Entrepreneur Finds Her Voice” — English Vinglish (2012)#shorts,Amy,18453608,724277.3092939532,0.75,61,2025-11-30T11:07:37Z,https://www.youtube.com/watch?v=Igc_DcU9-5s,https://www.youtube.com/channel/UC89UlOCawD0Qdb5-7CeVxlA,movie scenes #shorts,2025-05-30T10:40:26.461398Z,42900,18,43082256
292,Food Hacks,Plastic me Aata Gundh Jata Hai #shorts #reels #hacks,The Bhushan Show,18015776,741350.2215694409,1.05,59,2025-12-01T15:22:50Z,https://www.youtube.com/watch?v=AncQ47dUN0k,https://www.youtube.com/channel/UC0145lLkt6zCDVyAGMSM8Bg,food hacks #shorts,2020-06-28T14:08:39.166482Z,944000,1304,795917312
279,Recipes & Cooking,Crispy Methi Sabudana Pakoda | Perfect Tea-Time Snack #shorts #pakodarecipe,The moody chef,17669249,1202131.6217443552,1.05,17,2025-12-11T05:51:12Z,https://www.youtube.com/watch?v=POxaPn8u2yg,https://www.youtube.com/channel/UCmcGiXsN_NM3FFPIxWe0Hcw,easy recipes #shorts,2014-04-12T03:05:34Z,43900,64,67550154
163,Minecraft,SAVE JJ and Mikey Vs Lava Girl Prison Escape  - MAIZEN Minecraft Animation #minecraft #shorts,Temma Animation,16971368,615644.2100193845,1.05,43,2025-11-28T09:00:22Z,https://www.youtube.com/watch?v=8N0aphRvzPw,https://www.youtube.com/channel/UCKqSDd51tNiciOSrrb59-sA,minecraft shorts,2025-10-29T11:41:34.107273Z,169000,10,48724766
486,History Facts,"Dubai SHOCKS India, Indians VERY ANGRY - Indian Air Force Tejas Incident #shorts",FactTechz,16762680,560224.5288599621,1.05,59,2025-11-26T00:30:04Z,https://www.youtube.com/watch?v=5AzRWAyyXnU,https://www.youtube.com/channel/UCGdPm5Aq081vVD7ih9jZf6Q,history facts #shorts,2016-07-24T14:10:28Z,20800000,1831,8108013164
520,Geography & Maps,Can You Walk from India to Australia? #shorts #india #australia #geopolitics,Mine of Truth,16273858,1698749.4796889392,0.75,70,2025-12-16T08:41:47Z,https://www.youtube.com/watch?v=x9cEOC9AD-U,https://www.youtube.com/channel/UCatKkxCP_ch3IgdG-zMaq2g,geography facts #shorts,2025-09-30T09:23:45.458122Z,57500,36,40289278
465,Wildlife & Nature,Lo que debes hacer si quieres salvarte de estos 4 animales. #shorts,ADN Animal,16229484,737371.8994954342,0.75,68,2025-12-03T22:22:33Z,https://www.youtube.com/watch?v=BnaoDb5x-oc,https://www.youtube.com/channel/UCpO67HBNn0lz7NhDpb8PvSA,wildlife shorts,2019-03-10T23:53:23Z,34400,32,21928021
564,Dance,Rahman Dakait Entry Song #fa9la #ytshorts #shorts #3ddanceacademy #dhurandhar #akshaykhanna #viral,3D DANCE ACADEMY JAIPUR,16051235,1553730.0464475784,1.05,60,2025-12-15T14:40:33Z,https://www.youtube.com/watch?v=Sn-xYcCr9tA,https://www.youtube.com/channel/UCijjYypSXku4VmuJPeHjV0Q,dance shorts,2014-09-11T07:17:36Z,1430000,1570,700506669
314,Cars & Motorcycles,🚨 Car Police Suddenly Stopped Me 😱 #shorts #funny #vlog,SANSAR COMEDY BAR,15885751,1685202.2288726626,1.05,59,2025-12-16T12:22:24Z,https://www.youtube.com/watch?v=1uvR8i-30lQ,https://www.youtube.com/channel/UCVPP_lAuPWl_tBZ8R7rQPxQ,car shorts,2022-01-09T02:34:10.211267Z,12400000,846,8144409816
508,Space & Astronomy,The Biggest Sky Shower of 2025 🤩☄️ | Kuldeep Singhaniaa #shorts,Kuldeep Singhania Shorts,15821649,1287789.5955124283,1.05,49,2025-12-13T15:45:09Z,https://www.youtube.com/watch?v=fjEuiDKZbko,https://www.youtube.com/channel/UCnYKRFQRndE3Wq1eLRQLfWw,space facts #shorts,2021-04-18T13:18:15.883598Z,15800000,1599,11643211181
164,Minecraft,Solo intentaba hacer una decoración bonita 💀🫵🏼 #minecraft #shorts #viral,tagelis,15716700,539084.5437671967,1.05,10,2025-11-26T18:54:15Z,https://www.youtube.com/watch?v=IEDv4MKJvoo,https://www.youtube.com/channel/UCdoseVaXPvmnZXITVEVoBbQ,minecraft shorts,2018-09-17T10:39:45Z,4320000,489,1383124261
565,Dance,Karutha Machan 🔥 Azhagi On #karuthamachan #trending #shorts #dancevideo #dancer #remix #ilaiyaraja,troupe tamizha,15634774,531655.0268660671,1.05,53,2025-11-26T12:49:43Z,https://www.youtube.com/watch?v=YVghXj7JpMM,https://www.youtube.com/channel/UCWMzxkSfDhmC7wc1P3zeATg,dance shorts,2020-08-05T14:17:06.086614Z,113000,598,40049996
549,Music & Singing,Pal Pal Jeena Muhal Singing Comparison | Yaseen | Kishore Mondal | Afusic,FactsKnowFun,15541074,726570.6965797404,1.05,59,2025-12-04T13:15:48Z,https://www.youtube.com/watch?v=BQ7tlTMsymc,https://www.youtube.com/channel/UCCPxxptXsBjvMczLkTW29KA,singing shorts,2024-08-29T06:19:03.943353Z,2810000,726,1690738822
280,Recipes & Cooking,Cheesy roti sandwich!!! #shorts #youtubeshorts #recipe #food,Secret of yum,15520146,797260.6230076457,1.05,52,2025-12-06T11:24:27Z,https://www.youtube.com/watch?v=GbwoUWNN66o,https://www.youtube.com/channel/UClVlyxZ7g6aDsErpH6Ry2dA,easy recipes #shorts,2022-04-18T15:21:23.02223Z,5330000,200,3207268353
550,Music & Singing,Ayesha khan dances on her song  'shararat' from dhurandar #shorts #ayeshakhan #dance,Bollywood Shotts,15472430,830671.255523638,1.05,58,2025-12-07T07:34:49Z,https://www.youtube.com/watch?v=GtvxaNB8Nl0,https://www.youtube.com/channel/UCFTb3DSl3K108mrnMheYsXA,singing shorts,2025-05-23T11:47:10.670579Z,204000,296,214580506
452,Pets (Cats/Dogs),My cat brought back a panda from outside.#cat #panda #animals #love #shorts,PawsUnited,15257014,627420.9987190313,1.05,59,2025-12-01T15:00:17Z,https://www.youtube.com/watch?v=yIVzKgxxqDc,https://www.youtube.com/channel/UC7fy8JDDyRcAhmjsgz7hDrw,funny cats #shorts,2019-06-06T08:44:56Z,296000,79,167887242
566,Dance,Strict Dance Teacher 😂 | #shorts | Shorts Break,Shorts Break,15229205,590374.0967881288,1.05,60,2025-11-30T03:30:50Z,https://www.youtube.com/watch?v=xTqZUs2BPxw,https://www.youtube.com/channel/UCgJ5_1F6yJhYLnyMszUdmUg,dance shorts,2021-07-07T09:47:16.729784Z,48000000,895,39670359644
315,Cars & Motorcycles,mayra ne chalai car 😱#shorts,Nepal Gulia,15222158,2077688.60571207,1.05,18,2025-12-18T14:46:35Z,https://www.youtube.com/watch?v=7WU7nR_yuBE,https://www.youtube.com/channel/UCANmc3LACSctDDVaHbOeLSA,car shorts,2021-04-19T05:24:03.987787Z,3120000,5810,5311794569
