,niche,title,channel_title,views,views_per_day,shorts_score,duration_s,published_at,video_url,channel_url,source_query,created_at,subscribers,video_count,total_views
462,Wildlife & Nature,"""Detik-Detik Singa Mengintai Replika Rusa, Macan Tutul Mendekat"" #animals #wildlife #shorts #fyp",Buzzter,34465691,1945035.9597688143,1.05,8,2025-12-08T05:20:16Z,https://www.youtube.com/watch?v=_uSFETXB8Cg,https://www.youtube.com/channel/UCjUNRuooxxVg-i6YkdZGxAQ,wildlife shorts,2025-07-01T10:48:32.214181Z,20100,216,45882604
179,Roblox,the robber saw me doing the chanel dance😅😭#robloxshorts #roblox,Layla Roblox,33655738,1233949.3803089967,1.05,16,2025-11-28T16:00:54Z,https://www.youtube.com/watch?v=U07whYcdUFk,https://www.youtube.com/channel/UCehw6LdDdDwG0fEDh63eiZw,roblox shorts,2022-10-09T03:15:21.639651Z,13100000,1707,5323175485
577,Movies & TV (Edits/Clips/Trivia),🤠 Bar Brawl BACKFIRE! 😤 When Jackson Asks The Wrong Question... 🍻💥 #movie #short,Bella4,32898323,1884717.7404454274,1.05,60,2025-12-08T11:41:14Z,https://www.youtube.com/watch?v=k-xQocvvmwA,https://www.youtube.com/channel/UC4dKwFSxuuNJQZFVfBsL_uQ,movie scenes #shorts,2017-09-02T13:35:23Z,113000,50,149317782
180,Roblox,Roblox Waves 9 #roblox #shorts,Merani XP,31784910,1213066.0079933763,1.05,6,2025-11-29T17:45:34Z,https://www.youtube.com/watch?v=Alhgj9_VuEI,https://www.youtube.com/channel/UCIK_hSuurtsrT7n1CcZoqRQ,roblox shorts,2025-08-22T12:55:02.173438Z,40500,125,117499225
603,Memes & Comedy,BUS MEIN AURA PLUS #shorts #school #schoollife #friends #nostalgia #explore #aura #funny #comedy,Baccha Mat Bolna,31065647,1313195.6891378455,0.75,61,2025-12-02T06:51:29Z,https://www.youtube.com/watch?v=aIEJVIEZEVk,https://www.youtube.com/channel/UCQPTbtadNWcPYuoS3JqkpYw,funny shorts,2017-09-20T08:11:20Z,9370000,472,11226171448
278,Recipes & Cooking,Most Unique Samosa Recipe Ever | Ultimate Tea Time Snacks 😋 #shorts,Avani Anuradha Ki Rasoi,30359655,1487123.9926685404,1.05,13,2025-12-05T12:39:05Z,https://www.youtube.com/watch?v=VeCY5fR5fjk,https://www.youtube.com/channel/UCI02sKFi77ZWGIZYZCTKTqQ,easy recipes #shorts,2024-02-25T16:41:52.206738Z,290000,300,469363072
447,Pets (Cats/Dogs),Ranking the funniest optical illusion moments you won’t believe your eyes! 🤯 #shorts,Infinityy Ranks ,30322472,1700799.9418936695,1.05,39,2025-12-08T02:43:58Z,https://www.youtube.com/watch?v=_gZCGt8yaQQ,https://www.youtube.com/channel/UCp8jnCz6ph2TWPgVQhJ4IHg,funny cats #shorts,2015-10-19T15:21:30Z,60900,13,30917956
448,Pets (Cats/Dogs),Exam me Cheating 💀😱 | Part 2 #shorts #minivlog #ashortaday #vlog #tranding #cats #cat,Sirf Shreyansh,30279433,1192697.02075253,0.75,69,2025-11-30T13:19:00Z,https://www.youtube.com/watch?v=D5NULlqGrvc,https://www.youtube.com/channel/UC28haopD28ljl7lVEKkw1PA,funny cats #shorts,2022-12-06T17:06:10.376486Z,13400000,523,9781792586
449,Pets (Cats/Dogs),Cat Got Her Purple Color Surprise😍❤️,Factomato,30172478,1516181.8029952399,1.05,38,2025-12-06T01:00:22Z,https://www.youtube.com/watch?v=JA2XO_azRjU,https://www.youtube.com/channel/UCBW5TN_TkL480J96xvwnC8g,funny cats #shorts,2023-11-05T08:31:55.713524Z,8620000,371,7575126689
604,Memes & Comedy,Bachpan Ka Bura Sapna 😱💔 #shorts #funny #comedy #comedyshorts,Jay Singh,29687194,1389921.618011337,1.05,54,2025-12-04T14:00:04Z,https://www.youtube.com/watch?v=1_gciXgjgGY,https://www.youtube.com/channel/UCopTI48A60jV3x_VY7aEQnA,funny shorts,2025-02-04T15:29:53.060453Z,4600000,172,3650203082
578,Movies & TV (Edits/Clips/Trivia),"Hey, you got enough money to pay for all this? | Universal Soldier (1992) #scene #shorts",wow4lifefool,29286166,1303757.2680979865,1.05,60,2025-12-03T11:30:18Z,https://www.youtube.com/watch?v=emdLjBaiqYk,https://www.youtube.com/channel/UC4ml8onrUJ1xMMw0ctp3Tow,movie scenes #shorts,2011-03-05T20:08:24Z,86400,47,83793426
605,Memes & Comedy,When your Mom is Principal in your School 🏫 #shorts #sejalgabashorts #school,Sejal Gaba,28735003,1331243.1355022297,1.05,51,2025-12-04T08:34:21Z,https://www.youtube.com/watch?v=gF_7MBKmgKQ,https://www.youtube.com/channel/UCW-V3lJDUSz_AccP6rPRUtA,funny shorts,2020-08-07T08:16:21.557918Z,22100000,664,19955150793
548,Music & Singing,Meow Meow ft. Cristiano Ronaldo,Music Munch,28412997,1854353.3626562536,1.05,10,2025-12-10T14:52:43Z,https://www.youtube.com/watch?v=cUDo0bEbTwc,https://www.youtube.com/channel/UC2YGWbJeQjwFCO9bAS8ZdPw,singing shorts,2025-02-24T15:33:32.371425Z,103000,121,48227361
410,DIY & Crafts,DIY Balcony Makeover 🪴👨‍🌾 #diyprojects #homeinterior #ytshortsindia,CreateYourTaste - Abhinav Yadav,26609300,1173713.267389884,0.75,74,2025-12-03T06:30:29Z,https://www.youtube.com/watch?v=X43_laR5juI,https://www.youtube.com/channel/UC9lhUgoV5uyCYvCpvZNiW1Q,diy projects #shorts,2020-07-05T07:21:03.470241Z,618000,19,233104061
579,Movies & TV (Edits/Clips/Trivia),💫 Betal🔥 Aayushman vs Rashmika💯  #shorts #viral #youtubeshorts,KrishnaKunwar-112k,26405941,1832487.5521309618,1.05,46,2025-12-11T12:46:38Z,https://www.youtube.com/watch?v=tzw--JpWHHw,https://www.youtube.com/channel/UC6NqAhBa55mygfxhLzziVpw,movie scenes #shorts,2025-11-04T15:21:52.255564Z,96500,63,86546244
136,Tech Reviews & Gadgets,World's Powerful Magnet 🤯 #shorts #gadgets,Tech FC Shorts,25960580,986236.85321925,1.05,31,2025-11-29T14:51:41Z,https://www.youtube.com/watch?v=8rvSJRXOS3s,https://www.youtube.com/channel/UCBbeXVY55K5estTHrKWJ5Yg,tech gadgets #shorts,2018-03-27T17:46:31Z,8360000,767,5262014193
229,Football/Soccer,Ronaldo’s Return – INSANE Comeback vs Inter Miami! 🐐,FFE,25821410,940586.7069102089,1.05,59,2025-11-28T11:45:08Z,https://www.youtube.com/watch?v=pbEG8M_LQLg,https://www.youtube.com/channel/UCY0f7jR9d6jM2n4zBlLqQjQ,football highlights #shorts,2025-06-29T04:39:34.931783Z,469000,93,183850146
181,Roblox,@sushi.monsters Creeper boom 💥#roblox #robloxanimation #shorts #memes #asmr #asmrvideo,Hawks RBX,24603604,1970863.5794974568,1.05,28,2025-12-13T11:00:09Z,https://www.youtube.com/watch?v=VtueqfLMhQg,https://www.youtube.com/channel/UCeWOkLIhGfUAGQPfBvaFmkQ,roblox shorts,2017-06-10T10:33:46Z,1930000,339,872659807
311,Cars & Motorcycles,Tata Creta Car!#lighthouse #aivlog #dailyvlog #shorts #shortsfeed,Mr Bindas Bhai,24375696,1560024.3751717093,1.05,25,2025-12-10T07:36:26Z,https://www.youtube.com/watch?v=GPsmDtdnrqI,https://www.youtube.com/channel/UCDNFkqm7gv5R1ixT3nmFLDA,car shorts,2025-11-08T07:55:39.893131Z,59800,252,95868312
17,Motivation & Self-Improvement,"Making fun of KABAR ""! || motivational quotes || @motivation_world5858",Motivation_world5858,24165076,846917.3607396616,1.05,46,2025-11-27T09:49:02Z,https://www.youtube.com/watch?v=I3b8tzSEAf8,https://www.youtube.com/channel/UCchxMEf_AvBBEiNYv6bpYzA,motivation #shorts,2025-03-11T14:34:07.155337Z,53900,47,51562073
580,Movies & TV (Edits/Clips/Trivia),"""Chor Ka beta 😡""- SRK attitude 🔥🔥""- #srk #viral #trending #shorts #edit",Strange Editz,24052656,833846.5996203792,1.05,60,2025-11-27T02:19:28Z,https://www.youtube.com/watch?v=cfURcO2A0rw,https://www.youtube.com/channel/UC2YKQ-DTLh4oyutqm-fWVHA,movie scenes #shorts,2025-06-18T16:40:40.065772Z,346000,111,223704904
322,Luxury Lifestyle,Luxury Lifestyle💰 #shorts,Vampo,24032599,1064961.267380259,1.05,60,2025-12-03T09:00:46Z,https://www.youtube.com/watch?v=NQ-A-aZoVro,https://www.youtube.com/channel/UCkeB_u5OAKaPsGJSYW3-jjQ,luxury lifestyle #shorts,2025-08-23T00:27:15.372914Z,4340000,202,1305744836
450,Pets (Cats/Dogs),Shaadi Me Mile American Log 💀😱 #shorts #minivlog #ashortaday #vlog #tranding #cats #cat,Sirf Shreyansh,23747356,868390.846211674,1.05,52,2025-11-28T14:18:00Z,https://www.youtube.com/watch?v=ZRaYJpiPeRk,https://www.youtube.com/channel/UC28haopD28ljl7lVEKkw1PA,funny cats #shorts,2022-12-06T17:06:10.376486Z,13400000,523,9781792586
